Model;Manuf;Model Details;Year;Month;Motor Type_0;Motor Type_1;Transmission;Color;Body Type;Price;Mileage
Nissan Qashqai;Nissan;Qashqai;2008;;1,5;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Apvidus;3250;
Toyota Yaris;Toyota;Yaris;2009;;1,4;Dīzelis;Manuāla 6 ātrumi;Melnametālika;Hečbeks;3250;
Toyota Avensis;Toyota;Avensis;2007;;2;Dīzelis;Manuāla 6 ātrumi;Brūna;Universāls;3250;
Toyota Avensis;Toyota;Avensis;2006;Augusts;2,2;Dīzelis;Manuāla 6 ātrumi;Zilametālika;Universāls;3250;193940
Toyota RAV 4;Toyota;RAV 4;2005;Decembris;2;Dīzelis;Manuāla;Sudraba;Apvidus;3250;280000
Toyota Avensis;Toyota;Avensis;2006;Oktobris;2;Benzīns;Automāts 5 ātrumi;Pelēkametālika;Sedans;3250;160000
Toyota Yaris;Toyota;Yaris;2007;Aprīlis;1,2;Benzīns;Manuāla 5 ātrumi;Oranžametālika;-;3250;128500
Citroen Berlingo;Citroen;Berlingo;2005;Maijs;2;Dīzelis;Manuāla 5 ātrumi;Sudrabametālika;Universāls;3250;175000
Toyota Previa;Toyota;Previa;2004;Aprīlis;2,4;Benzīns/Gāze;Automāts;Sarkanametālika;Minivens;3200;336279
Toyota Avensis;Toyota;Avensis;2008;Jūnijs;2;Dīzelis;Manuāla 6 ātrumi;Melnametālika;Universāls;3200;350454
Toyota Corolla Verso;Toyota;Corolla Verso;2008;Aprīlis;2,2;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Minivens;3200;278438
Toyota Auris;Toyota;Auris;2011;;1,4;Dīzelis;Manuāla;Zilametālika;Hečbeks;3200;297000
Toyota Yaris;Toyota;Yaris;2006;;1,3;Benzīns;Automāts 5 ātrumi;Sudraba;Hečbeks;3200;99242
Hyundai Tucson;Hyundai;Tucson;2007;Decembris;2;Benzīns;Manuāla 5 ātrumi;Melna;Apvidus;3200;171691
Hyundai Santa FE;Hyundai;Santa FE;2006;;2,2;Dīzelis;Manuāla 5 ātrumi;Pelēka;Apvidus;3200;293000
Citroen C4 Picasso;Citroen;C4 Picasso;2009;Jūlijs;1,6;Dīzelis;Manuāla 5 ātrumi;Pelēka;Minivens;3200;118000
Citroen C5;Citroen;C5;2008;Jūnijs;2;Dīzelis;Manuāla;Pelēka;Sedans;3200;295000
Hyundai i20;Hyundai;i20;2016;Jūnijs;1,1;Dīzelis;Manuāla 6 ātrumi;Baltametālika;Hečbeks;3200;305150
Kia Picanto;Kia;Picanto;2011;Oktobris;1,2;Benzīns;Manuāla 6 ātrumi;Sarkanametālika;Hečbeks;3200;120000
Kia Ceed;Kia;Ceed;2010;Septembris;1,4;Benzīns;Manuāla 5 ātrumi;Pelēka;Hečbeks;3200;143416
Hyundai Coupe;Hyundai;Coupe;2003;Jūnijs;2,7;Benzīns;Manuāla 6 ātrumi;Dzeltena;Kupeja;3200;181000
Kia Sportage;Kia;Sportage;2005;Novembris;2;Dīzelis;Manuāla 5 ātrumi;Zaļametālika;Apvidus;3200;
Toyota Auris;Toyota;Auris;2007;;2;Dīzelis;Manuāla;Gaiši;Hečbeks;3200;
Nissan Primastar;Nissan;Primastar;2010;Janvāris;2;Dīzelis;Manuāla 6 ātrumi;Balta;Mikroautobuss;3200;
